Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,24.92,25.0,25.2,24.6,485.46K,-0.04%
08/08/2023,24.93,24.8,25.19,24.58,302.84K,0.52%
08/07/2023,24.8,24.26,24.8,23.92,347.38K,3.20%
08/06/2023,24.03,23.77,24.33,23.65,88.11K,0.08%
08/03/2023,24.01,24.25,24.5,23.54,46.00K,-0.04%
08/02/2023,24.02,23.87,24.39,23.63,56.19K,1.52%
08/01/2023,23.66,24.4,25.0,23.53,530.10K,-3.03%
07/31/2023,24.4,24.49,24.59,24.1,152.68K,-0.37%
07/30/2023,24.49,23.5,24.5,23.22,577.41K,4.57%
07/27/2023,23.42,23.0,23.5,22.81,206.73K,1.39%
07/26/2023,23.1,22.39,23.16,22.39,383.76K,3.17%
07/25/2023,22.39,22.72,22.72,22.35,608.85K,-0.58%
07/24/2023,22.52,22.55,22.77,22.5,877.36K,-0.27%
07/19/2023,22.58,22.95,22.95,22.55,740.12K,-0.92%
07/18/2023,22.79,22.9,23.0,22.52,545.36K,1.24%
07/17/2023,22.51,22.78,22.89,22.46,91.41K,-0.71%
07/16/2023,22.67,22.9,23.0,22.5,24.83K,-1.00%
07/13/2023,22.9,22.8,23.03,22.75,329.19K,0.31%
07/12/2023,22.83,23.0,23.0,22.5,192.18K,-0.22%
07/11/2023,22.88,23.35,23.35,22.65,1.76M,-0.52%
07/10/2023,23.0,22.5,23.25,22.1,185.26K,2.54%
07/09/2023,22.43,23.4,23.75,22.23,167.21K,-5.72%
07/06/2023,23.79,23.64,24.1,23.4,220.19K,0.63%
07/05/2023,23.64,23.0,24.4,23.0,540.98K,1.59%
07/04/2023,23.27,23.25,23.5,23.0,600.49K,0.09%
06/26/2023,23.25,22.23,23.25,22.2,711.75K,4.59%
06/25/2023,22.23,22.35,22.8,22.02,127.62K,-0.36%
06/22/2023,22.31,22.54,22.76,22.23,913.70K,-0.98%
06/21/2023,22.53,22.31,23.1,22.3,834.61K,0.99%
06/20/2023,22.31,22.95,23.0,22.22,2.03M,-1.54%
06/19/2023,22.66,21.72,23.6,21.6,2.90M,3.90%
06/18/2023,21.81,22.05,22.48,21.76,360.45K,-0.77%
06/15/2023,21.98,21.8,22.0,21.8,82.72K,0.83%
06/14/2023,21.8,22.0,22.5,21.79,236.69K,-0.91%
06/13/2023,22.0,22.65,22.8,21.7,485.54K,-2.44%
06/12/2023,22.55,22.5,22.9,22.0,58.34K,1.81%
06/11/2023,22.15,23.1,23.57,22.1,532.99K,-3.61%
06/08/2023,22.98,24.0,24.0,22.52,451.59K,-2.87%
06/07/2023,23.66,24.57,24.99,23.5,229.81K,-3.70%
06/06/2023,24.57,25.0,25.2,24.5,426.69K,-1.72%
06/05/2023,25.0,25.57,25.57,24.86,323.36K,-1.65%
06/04/2023,25.42,25.0,25.57,24.1,177.79K,2.25%
06/01/2023,24.86,24.9,25.15,24.81,874.86K,2.64%
05/31/2023,24.22,25.25,26.0,24.2,1.66M,-6.49%
05/30/2023,25.9,23.8,25.98,23.33,1.55M,8.50%
05/29/2023,23.87,23.88,23.95,23.3,532.26K,-0.08%
05/28/2023,23.89,22.5,23.95,22.49,1.00M,7.47%
05/25/2023,22.23,22.7,23.11,22.03,684.39K,-0.71%
05/24/2023,22.39,22.2,22.68,22.0,85.70K,0.36%
05/23/2023,22.31,22.61,22.65,21.9,301.27K,-1.28%
05/22/2023,22.6,22.65,22.99,22.54,244.95K,-1.74%
05/21/2023,23.0,23.19,23.19,22.51,179.98K,1.50%
05/18/2023,22.66,22.8,23.35,22.33,83.24K,-0.31%
05/17/2023,22.73,23.0,23.1,22.4,287.09K,-1.52%
05/16/2023,23.08,23.2,23.2,22.4,383.33K,-1.28%
05/15/2023,23.38,23.5,23.85,23.25,2.15M,-0.17%
05/14/2023,23.42,21.01,23.8,21.0,2.42M,8.93%
05/11/2023,21.5,21.75,21.75,20.87,414.71K,0.09%
