Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,25.3,25.6,25.65,25.25,274.37K,-1.17%
08/08/2023,25.6,25.78,25.9,25.21,488.53K,-0.74%
08/07/2023,25.79,25.85,26.0,25.03,752.18K,-0.31%
08/06/2023,25.87,24.94,25.9,24.7,751.08K,3.81%
08/03/2023,24.92,25.02,25.1,24.45,527.70K,-0.28%
08/02/2023,24.99,24.29,25.36,23.9,1.71M,2.80%
08/01/2023,24.31,23.67,24.51,23.67,933.89K,2.75%
07/31/2023,23.66,23.9,24.1,21.8,260.89K,-1.05%
07/30/2023,23.91,22.99,24.04,22.73,1.50M,4.18%
07/27/2023,22.95,23.3,23.3,22.8,250.73K,-1.59%
07/26/2023,23.32,22.8,23.57,22.45,833.63K,2.64%
07/25/2023,22.72,22.7,23.1,22.44,306.62K,0.13%
07/24/2023,22.69,23.1,23.1,22.65,310.14K,-1.35%
07/19/2023,23.0,23.65,23.7,22.95,696.67K,-2.50%
07/18/2023,23.59,23.2,23.7,23.16,1.18M,3.24%
07/17/2023,22.85,22.11,23.3,22.11,1.15M,2.56%
07/16/2023,22.28,22.0,22.4,21.83,238.75K,1.69%
07/13/2023,21.91,21.65,22.4,21.65,464.80K,1.67%
07/12/2023,21.55,22.2,22.25,21.53,264.56K,-1.82%
07/11/2023,21.95,21.8,22.4,21.5,373.50K,1.15%
07/10/2023,21.7,21.01,21.88,20.56,262.64K,3.28%
07/09/2023,21.01,21.91,22.19,20.9,593.00K,-4.02%
07/06/2023,21.89,22.66,22.76,21.8,223.81K,-2.75%
07/05/2023,22.51,22.6,22.89,22.5,256.27K,-0.18%
07/04/2023,22.55,22.83,23.09,22.52,133.14K,-1.18%
06/26/2023,22.82,23.04,23.12,22.75,592.07K,-1.13%
06/25/2023,23.08,23.3,23.45,22.96,278.04K,0.00%
06/22/2023,23.08,23.56,23.7,23.04,419.83K,-2.04%
06/21/2023,23.56,23.1,23.7,22.72,1.18M,2.12%
06/20/2023,23.07,23.55,24.21,23.03,2.06M,-1.41%
06/19/2023,23.4,22.4,23.47,22.36,1.82M,4.98%
06/18/2023,22.29,22.99,23.0,22.27,458.00K,-2.24%
06/15/2023,22.8,23.4,23.5,22.5,709.36K,-2.69%
06/14/2023,23.43,23.6,24.05,23.3,137.87K,-0.55%
06/13/2023,23.56,23.7,24.27,23.45,609.17K,-0.04%
06/12/2023,23.57,23.38,24.25,23.38,652.35K,1.55%
06/11/2023,23.21,22.75,23.88,22.75,811.02K,3.16%
06/08/2023,22.5,22.49,22.8,22.0,1.21M,0.04%
06/07/2023,22.49,22.52,22.8,22.3,1.26M,-0.09%
06/06/2023,22.51,22.8,22.8,22.26,875.08K,-1.40%
06/05/2023,22.83,23.0,23.0,22.36,796.69K,-0.13%
06/04/2023,22.86,23.9,24.1,22.82,785.10K,-4.15%
06/01/2023,23.85,23.4,23.85,23.21,990.78K,2.58%
05/31/2023,23.25,23.26,23.5,23.1,1.47M,0.04%
05/30/2023,23.24,22.7,23.38,22.7,1.37M,2.83%
05/29/2023,22.6,23.11,23.4,22.6,1.36M,-1.87%
05/28/2023,23.03,22.99,23.3,22.7,1.92M,1.28%
05/25/2023,22.74,23.0,23.25,22.55,1.97M,-0.09%
05/24/2023,22.76,21.96,23.15,21.5,2.51M,4.55%
05/23/2023,21.77,21.1,21.98,20.39,2.07M,3.18%
05/22/2023,21.1,21.86,22.08,20.97,1.52M,-3.26%
05/21/2023,21.81,21.95,22.51,21.72,1.40M,-0.14%
05/18/2023,21.84,21.99,22.33,20.71,2.28M,-0.09%
05/17/2023,21.86,23.69,23.7,21.66,2.05M,-6.58%
05/16/2023,23.4,25.02,25.2,23.23,2.54M,-6.51%
05/15/2023,25.03,25.98,26.2,24.83,877.99K,-2.42%
05/14/2023,25.65,26.3,26.3,25.6,756.57K,-1.46%
05/11/2023,26.03,26.74,26.94,25.94,791.26K,-2.14%
05/10/2023,26.6,25.5,26.75,25.25,1.26M,5.47%
05/09/2023,25.22,26.85,27.3,25.0,1.91M,-5.72%
05/08/2023,26.75,24.51,26.77,24.5,1.48M,9.32%
05/07/2023,24.47,25.37,25.5,23.67,1.69M,-3.55%
05/03/2023,25.37,25.71,26.25,25.0,1.02M,-0.94%
05/02/2023,25.61,26.2,26.99,25.31,1.33M,-2.25%
05/01/2023,26.2,26.6,27.23,25.4,1.52M,-1.21%
04/30/2023,26.52,27.7,28.19,25.53,3.20M,-3.63%
04/27/2023,27.52,27.3,28.15,26.25,1.84M,3.03%
04/26/2023,26.71,25.0,27.0,24.8,1.48M,8.05%
04/19/2023,24.72,23.16,25.0,23.13,677.19K,6.37%
04/18/2023,23.24,22.23,23.4,21.9,727.11K,5.35%
04/13/2023,22.06,21.5,22.32,21.4,872.78K,2.56%
04/12/2023,21.51,21.65,21.94,21.38,743.40K,-0.88%
04/11/2023,21.7,21.31,21.9,21.16,644.39K,2.60%
04/10/2023,21.15,21.3,21.49,20.81,852.66K,-0.24%
04/09/2023,21.2,21.15,21.94,21.03,743.50K,0.24%
04/06/2023,21.15,20.5,21.5,20.4,1.61M,2.87%
04/05/2023,20.56,20.65,21.0,20.5,526.51K,-0.39%
04/04/2023,20.64,20.85,21.0,20.41,839.33K,-0.29%
04/03/2023,20.7,19.62,20.85,19.62,1.58M,6.10%
04/02/2023,19.51,19.25,19.6,19.02,735.02K,2.09%
03/30/2023,19.11,19.64,19.8,18.75,904.71K,-2.20%
03/29/2023,19.54,18.98,20.25,18.98,2.62M,3.83%
03/28/2023,18.82,18.49,18.91,17.69,812.43K,2.67%
03/27/2023,18.33,19.05,19.15,18.11,304.96K,-3.53%
03/26/2023,19.0,18.0,19.0,18.0,1.33M,5.79%
03/23/2023,17.96,17.87,18.25,16.03,823.07K,0.90%
03/22/2023,17.8,17.7,18.14,17.11,999.91K,1.95%
03/21/2023,17.46,16.24,17.69,16.21,813.88K,9.06%
03/20/2023,16.01,15.71,16.28,15.4,487.89K,3.09%
03/19/2023,15.53,15.7,15.94,14.8,239.45K,0.19%
03/16/2023,15.5,14.93,15.85,14.06,438.54K,2.04%
03/15/2023,15.19,16.95,17.24,13.6,2.27M,-9.53%
03/14/2023,16.79,16.99,17.0,16.02,442.13K,0.12%
03/13/2023,16.77,18.1,18.24,16.3,1.50M,-6.99%
03/12/2023,18.03,18.6,18.6,17.9,669.45K,-3.22%
03/09/2023,18.63,18.43,18.85,18.32,1.19M,0.87%
03/08/2023,18.47,18.23,18.52,18.0,1.35M,1.32%
03/07/2023,18.23,18.7,18.9,18.1,949.87K,-2.25%
03/06/2023,18.65,19.11,19.28,18.55,3.57M,-1.84%
03/05/2023,19.0,18.16,19.16,18.1,3.04M,5.50%
03/02/2023,18.01,17.97,18.5,17.75,3.19M,0.06%
03/01/2023,18.0,17.85,18.1,17.57,1.10M,1.01%
02/28/2023,17.82,17.81,18.59,17.69,2.31M,-0.67%
02/27/2023,17.94,18.15,18.3,17.8,705.53K,-0.77%
02/26/2023,18.08,17.16,18.5,16.9,1.46M,6.04%
02/23/2023,17.05,17.0,17.16,16.5,294.53K,1.25%
02/22/2023,16.84,16.91,17.37,16.74,813.43K,1.20%
02/21/2023,16.64,16.75,16.95,16.2,794.66K,-1.01%
02/20/2023,16.81,17.66,17.7,16.7,450.20K,-3.78%
02/19/2023,17.47,18.1,18.19,17.32,559.72K,-3.53%
02/16/2023,18.11,18.3,18.41,18.0,827.63K,-0.88%
02/15/2023,18.27,17.67,18.35,17.63,1.48M,3.81%
02/14/2023,17.6,16.9,17.7,16.73,1.67M,5.20%
02/13/2023,16.73,16.99,17.09,16.51,514.08K,-0.77%
02/12/2023,16.86,16.99,17.14,16.7,582.52K,-1.58%
02/09/2023,17.13,16.7,17.18,16.52,1.46M,-3.17%
02/08/2023,17.69,18.24,18.49,17.3,1.70M,-2.21%
02/07/2023,18.09,17.25,18.21,17.01,2.83M,7.04%
02/06/2023,16.9,16.7,17.2,16.66,969.69K,2.74%
02/05/2023,16.45,16.9,17.0,15.54,1.18M,-1.26%
02/02/2023,16.66,17.98,18.0,16.51,1.64M,-6.25%
02/01/2023,17.77,17.5,18.2,16.75,1.36M,1.78%
01/31/2023,17.46,19.0,19.18,16.92,2.40M,-7.86%
01/30/2023,18.95,20.2,20.4,18.9,1.94M,-5.49%
01/29/2023,20.05,20.0,20.45,19.69,1.66M,2.40%
01/25/2023,19.58,18.76,20.0,18.76,2.32M,4.76%
01/24/2023,18.69,19.1,19.23,18.6,857.95K,-2.15%
01/23/2023,19.1,20.43,20.43,18.82,1.85M,-5.21%
01/22/2023,20.15,20.63,20.85,20.1,749.96K,-2.33%
01/19/2023,20.63,21.2,21.2,20.56,959.40K,-1.76%
01/18/2023,21.0,21.0,21.3,20.2,1.31M,0.96%
01/17/2023,20.8,21.5,21.65,20.61,970.84K,-2.62%
01/16/2023,21.36,22.5,22.79,21.25,1.59M,-3.87%
01/15/2023,22.22,22.0,22.4,21.62,674.39K,3.35%
01/12/2023,21.5,20.9,21.94,20.1,866.38K,4.93%
01/11/2023,20.49,21.0,21.9,20.02,1.13M,-2.57%
01/10/2023,21.03,22.25,22.5,20.81,1.12M,-4.06%
01/09/2023,21.92,22.9,23.0,21.83,340.32K,-1.84%
01/05/2023,22.33,23.0,24.49,22.1,985.74K,-1.02%
01/04/2023,22.56,20.5,23.23,18.92,1.07M,10.43%
01/03/2023,20.43,20.5,21.77,20.26,373.54K,-0.20%
01/02/2023,20.47,18.71,20.77,18.64,460.52K,10.05%
12/29/2022,18.6,18.31,18.6,18.2,263.17K,2.25%
12/28/2022,18.19,18.13,18.34,18.13,145.78K,0.22%
12/27/2022,18.15,18.7,18.89,18.0,106.41K,-2.84%
12/26/2022,18.68,18.48,18.99,18.4,102.71K,2.02%
12/25/2022,18.31,18.55,18.73,18.1,111.16K,-1.29%
12/22/2022,18.55,18.51,19.19,18.51,230.66K,-0.54%
12/21/2022,18.65,18.85,19.0,18.5,373.63K,-1.48%
12/20/2022,18.93,19.0,19.6,18.81,147.86K,0.69%
12/19/2022,18.8,17.47,19.05,17.3,1.83M,9.18%
