Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,3.48,3.43,3.57,3.4,15.98M,2.05%
08/08/2023,3.41,3.47,3.49,3.4,5.37M,-1.45%
08/07/2023,3.46,3.46,3.51,3.4,10.18M,0.29%
08/06/2023,3.45,3.32,3.47,3.31,9.36M,3.92%
08/03/2023,3.32,3.34,3.36,3.28,2.75M,-0.30%
08/02/2023,3.33,3.39,3.4,3.33,3.78M,-1.19%
08/01/2023,3.37,3.42,3.44,3.37,3.57M,-1.46%
07/31/2023,3.42,3.4,3.44,3.36,5.09M,1.48%
07/30/2023,3.37,3.38,3.41,3.36,2.82M,0.30%
07/27/2023,3.36,3.38,3.4,3.34,4.19M,0.00%
07/26/2023,3.36,3.39,3.41,3.36,3.02M,-0.59%
07/25/2023,3.38,3.46,3.49,3.38,8.01M,-1.74%
07/24/2023,3.44,3.53,3.54,3.44,3.14M,-2.27%
07/19/2023,3.52,3.59,3.59,3.5,5.83M,-0.85%
07/18/2023,3.55,3.48,3.56,3.46,9.32M,2.60%
07/17/2023,3.46,3.48,3.52,3.45,11.59M,0.29%
07/16/2023,3.45,3.42,3.45,3.39,7.06M,1.47%
07/13/2023,3.4,3.41,3.48,3.38,9.52M,-0.29%
07/12/2023,3.41,3.49,3.5,3.4,3.18M,-1.73%
07/11/2023,3.47,3.45,3.5,3.41,5.73M,1.17%
07/10/2023,3.43,3.4,3.48,3.36,2.08M,1.78%
07/09/2023,3.37,3.57,3.58,3.37,3.62M,-5.34%
07/06/2023,3.56,3.63,3.67,3.56,2.90M,-1.93%
07/05/2023,3.63,3.59,3.7,3.58,9.21M,1.97%
07/04/2023,3.56,3.59,3.67,3.55,6.96M,-0.84%
06/26/2023,3.59,3.45,3.59,3.44,5.07M,4.66%
06/25/2023,3.43,3.53,3.55,3.43,3.23M,-2.00%
06/22/2023,3.5,3.48,3.51,3.44,2.28M,1.74%
06/21/2023,3.44,3.6,3.6,3.44,3.46M,-2.82%
06/20/2023,3.54,3.58,3.62,3.54,2.42M,-0.56%
06/19/2023,3.56,3.64,3.67,3.54,7.29M,-1.39%
06/18/2023,3.61,3.6,3.69,3.59,5.59M,0.56%
06/15/2023,3.59,3.66,3.69,3.55,6.79M,-1.64%
06/14/2023,3.65,3.69,3.76,3.64,9.57M,-1.08%
06/13/2023,3.69,3.77,3.8,3.68,9.83M,-1.86%
06/12/2023,3.76,3.82,3.87,3.76,4.03M,-1.05%
06/11/2023,3.8,3.74,3.84,3.72,15.15M,2.15%
06/08/2023,3.72,3.71,3.78,3.69,9.37M,0.54%
06/07/2023,3.7,3.67,3.8,3.67,30.67M,1.65%
06/06/2023,3.64,3.71,3.76,3.63,30.60M,1.11%
06/05/2023,3.6,3.59,3.67,3.56,18.27M,0.84%
06/04/2023,3.57,3.55,3.66,3.52,21.84M,1.42%
06/01/2023,3.52,3.48,3.55,3.45,8.57M,0.86%
05/31/2023,3.49,3.5,3.63,3.47,28.81M,-0.29%
05/30/2023,3.5,3.36,3.5,3.33,26.78M,3.86%
05/29/2023,3.37,3.23,3.38,3.21,17.78M,2.12%
05/28/2023,3.3,3.26,3.31,3.24,6.02M,1.54%
05/25/2023,3.25,3.26,3.29,3.22,6.13M,0.31%
05/24/2023,3.24,3.22,3.27,3.22,5.87M,0.93%
05/23/2023,3.21,3.2,3.22,3.16,3.37M,0.63%
05/22/2023,3.19,3.22,3.27,3.18,6.64M,-0.31%
05/21/2023,3.2,3.22,3.24,3.19,2.87M,0.00%
05/18/2023,3.2,3.15,3.2,3.1,7.31M,1.59%
05/17/2023,3.15,3.29,3.33,3.11,10.86M,-3.96%
05/16/2023,3.28,3.29,3.3,3.25,5.36M,-0.30%
05/15/2023,3.29,3.39,3.41,3.25,9.86M,-2.66%
05/14/2023,3.38,3.37,3.39,3.34,4.76M,0.30%
05/11/2023,3.37,3.41,3.44,3.35,7.23M,-1.46%
05/10/2023,3.42,3.39,3.43,3.35,10.40M,1.18%
05/09/2023,3.38,3.5,3.54,3.34,16.70M,-2.31%
05/08/2023,3.46,3.39,3.49,3.38,9.12M,2.37%
05/07/2023,3.38,3.4,3.4,3.34,5.18M,-0.29%
05/03/2023,3.39,3.43,3.47,3.36,6.17M,-0.88%
05/02/2023,3.42,3.44,3.48,3.39,5.10M,-0.29%
05/01/2023,3.43,3.57,3.58,3.43,9.84M,-3.65%
04/30/2023,3.56,3.63,3.71,3.53,23.46M,-1.66%
04/27/2023,3.62,3.59,3.63,3.56,22.25M,1.40%
04/26/2023,3.57,3.58,3.58,3.49,8.16M,0.28%
04/19/2023,3.56,3.57,3.64,3.55,24.11M,0.85%
04/18/2023,3.53,3.45,3.53,3.43,13.86M,2.32%
04/13/2023,3.45,3.42,3.48,3.4,8.94M,0.58%
04/12/2023,3.43,3.45,3.48,3.37,15.26M,-0.29%
04/11/2023,3.44,3.38,3.46,3.38,16.48M,2.69%
04/10/2023,3.35,3.3,3.35,3.3,6.59M,1.52%
04/09/2023,3.3,3.35,3.38,3.28,7.18M,-0.60%
04/06/2023,3.32,3.4,3.41,3.28,8.26M,-2.06%
04/05/2023,3.39,3.44,3.51,3.38,12.63M,-1.45%
04/04/2023,3.44,3.26,3.44,3.25,26.38M,6.50%
04/03/2023,3.23,3.2,3.26,3.15,12.45M,1.89%
04/02/2023,3.17,3.1,3.17,3.07,7.31M,3.59%
03/30/2023,3.06,3.16,3.17,3.05,5.49M,-1.92%
03/29/2023,3.12,3.09,3.14,3.08,5.97M,1.63%
03/28/2023,3.07,3.09,3.1,3.0,4.92M,-0.97%
03/27/2023,3.1,3.15,3.17,3.05,6.50M,-0.96%
03/26/2023,3.13,3.02,3.17,3.02,16.79M,3.99%
03/23/2023,3.01,2.93,3.01,2.9,4.07M,2.73%
03/22/2023,2.93,3.08,3.08,2.91,8.44M,-3.30%
03/21/2023,3.03,2.99,3.06,2.98,7.67M,2.36%
03/20/2023,2.96,2.88,3.05,2.85,14.82M,2.07%
03/19/2023,2.9,2.96,2.96,2.81,2.85M,-0.68%
03/16/2023,2.92,2.79,2.99,2.73,7.89M,5.04%
03/15/2023,2.78,3.09,3.12,2.63,9.43M,-9.45%
03/14/2023,3.07,2.97,3.08,2.91,12.13M,2.33%
03/13/2023,3.0,3.33,3.33,2.91,12.62M,-8.26%
03/12/2023,3.27,3.42,3.43,3.25,6.19M,-5.22%
03/09/2023,3.45,3.44,3.46,3.37,3.64M,1.47%
03/08/2023,3.4,3.36,3.42,3.3,5.93M,0.89%
03/07/2023,3.37,3.5,3.54,3.36,5.66M,-3.16%
03/06/2023,3.48,3.5,3.59,3.46,8.76M,0.58%
03/05/2023,3.46,3.45,3.56,3.45,3.48M,-2.26%
03/02/2023,3.54,3.57,3.58,3.52,9.43M,-0.84%
03/01/2023,3.57,3.46,3.58,3.42,11.11M,3.48%
02/28/2023,3.45,3.42,3.49,3.4,8.01M,0.88%
02/27/2023,3.42,3.47,3.51,3.41,5.10M,-1.16%
02/26/2023,3.46,3.41,3.49,3.4,8.66M,1.76%
02/23/2023,3.4,3.34,3.4,3.25,11.25M,2.41%
02/22/2023,3.32,3.46,3.46,3.3,6.23M,-3.21%
02/21/2023,3.43,3.35,3.44,3.32,7.43M,1.78%
02/20/2023,3.37,3.47,3.5,3.35,7.57M,-2.88%
02/19/2023,3.47,3.56,3.57,3.46,5.45M,-2.25%
02/16/2023,3.55,3.62,3.64,3.54,10.17M,-1.66%
02/15/2023,3.61,3.65,3.67,3.59,16.09M,-0.82%
02/14/2023,3.64,3.48,3.64,3.47,31.55M,5.51%
02/13/2023,3.45,3.49,3.53,3.4,9.19M,-0.86%
02/12/2023,3.48,3.45,3.57,3.44,12.05M,-0.29%
02/09/2023,3.49,3.39,3.5,3.38,11.60M,3.25%
02/08/2023,3.38,3.44,3.46,3.36,7.79M,-1.74%
02/07/2023,3.44,3.4,3.48,3.39,11.29M,2.08%
02/06/2023,3.37,3.4,3.43,3.32,13.69M,0.30%
02/05/2023,3.36,3.43,3.43,3.2,16.43M,-0.59%
02/02/2023,3.38,3.57,3.59,3.36,14.75M,-4.52%
02/01/2023,3.54,3.54,3.59,3.47,10.45M,0.57%
01/31/2023,3.52,3.69,3.7,3.51,25.90M,-4.35%
01/30/2023,3.68,3.93,3.94,3.66,28.58M,-5.64%
01/29/2023,3.9,3.95,4.03,3.89,36.19M,0.52%
01/25/2023,3.88,3.82,3.92,3.82,37.27M,2.65%
01/24/2023,3.78,3.77,3.81,3.73,13.36M,0.53%
01/23/2023,3.76,3.84,3.87,3.74,20.45M,-1.31%
01/22/2023,3.81,3.83,3.87,3.78,23.52M,1.06%
01/19/2023,3.77,3.81,3.82,3.73,23.82M,-0.26%
01/18/2023,3.78,3.87,3.97,3.76,45.31M,-1.05%
01/17/2023,3.82,3.76,3.93,3.73,75.42M,3.24%
01/16/2023,3.7,3.54,3.72,3.52,49.65M,5.71%
01/15/2023,3.5,3.47,3.61,3.45,26.33M,2.04%
01/12/2023,3.43,3.49,3.52,3.3,34.60M,-0.58%
