Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,48.6,47.8,48.89,47.5,1.02M,1.59%
08/08/2023,47.84,47.93,48.12,47.3,606.90K,-0.15%
08/07/2023,47.91,47.61,48.19,47.47,653.90K,0.97%
08/06/2023,47.45,46.99,47.49,46.6,453.75K,1.09%
08/03/2023,46.94,46.75,46.94,46.15,368.86K,0.58%
08/02/2023,46.67,47.51,47.51,46.55,913.68K,-1.77%
08/01/2023,47.51,47.5,48.47,47.4,1.60M,0.64%
07/31/2023,47.21,47.34,47.4,47.03,572.78K,0.45%
07/30/2023,47.0,46.57,47.57,46.41,574.69K,1.03%
07/27/2023,46.52,47.0,47.05,46.5,546.84K,-1.04%
07/26/2023,47.01,47.3,47.39,47.01,385.39K,-0.30%
07/25/2023,47.15,47.2,47.69,47.12,842.85K,0.00%
07/24/2023,47.15,47.97,47.99,47.05,587.03K,-1.40%
07/19/2023,47.82,48.4,48.6,47.78,785.40K,-1.32%
07/18/2023,48.46,48.35,48.54,48.16,674.82K,0.31%
07/17/2023,48.31,48.5,48.64,47.71,1.03M,0.02%
07/16/2023,48.3,47.88,49.15,47.82,2.35M,1.64%
07/13/2023,47.52,46.8,47.78,46.7,2.12M,1.97%
07/12/2023,46.6,45.86,46.99,45.85,2.37M,1.70%
07/11/2023,45.82,44.77,45.9,44.45,2.35M,2.71%
07/10/2023,44.61,43.4,44.85,43.11,540.65K,2.76%
07/09/2023,43.41,44.55,44.99,43.4,522.98K,-2.56%
07/06/2023,44.55,45.47,45.98,44.51,749.75K,-2.02%
07/05/2023,45.47,45.0,45.88,45.0,610.68K,1.07%
07/04/2023,44.99,44.65,45.07,44.65,802.51K,0.99%
06/26/2023,44.55,44.0,44.55,43.91,423.18K,1.34%
06/25/2023,43.96,45.0,45.0,43.95,566.39K,-1.21%
06/22/2023,44.5,43.8,44.5,43.72,609.89K,1.81%
06/21/2023,43.71,45.0,45.09,43.7,1.33M,-2.78%
06/20/2023,44.96,45.3,45.6,44.94,780.56K,-0.64%
06/19/2023,45.25,45.26,45.94,45.09,1.54M,0.29%
06/18/2023,45.12,45.0,45.75,45.0,1.04M,0.49%
06/15/2023,44.9,45.7,45.8,44.9,1.36M,-1.97%
06/14/2023,45.8,46.85,46.96,45.51,2.14M,-1.55%
06/13/2023,46.52,45.0,47.67,44.95,7.42M,4.30%
06/12/2023,44.6,43.88,44.6,43.76,1.32M,2.43%
06/11/2023,43.54,43.2,44.14,43.16,2.20M,1.14%
06/08/2023,43.05,43.22,43.5,42.42,1.47M,0.12%
06/07/2023,43.0,43.7,43.95,43.0,5.34M,-0.69%
06/06/2023,43.3,43.32,44.44,43.02,2.88M,0.42%
06/05/2023,43.12,44.9,44.9,42.96,2.78M,-3.45%
06/04/2023,44.66,46.55,46.9,44.65,2.60M,-3.54%
06/01/2023,46.3,47.37,47.37,46.3,1.49M,-2.46%
05/31/2023,47.47,47.95,47.99,46.46,2.27M,-0.11%
05/30/2023,47.52,47.8,48.24,47.36,1.30M,0.36%
05/29/2023,47.35,47.79,47.98,46.9,560.86K,0.47%
05/28/2023,47.13,48.0,48.85,47.12,648.16K,-1.65%
05/25/2023,47.92,48.39,48.79,47.72,512.39K,-0.17%
05/24/2023,48.0,47.66,48.29,47.49,615.43K,1.20%
05/23/2023,47.43,48.02,48.02,46.65,667.77K,-1.04%
05/22/2023,47.93,48.8,49.42,47.85,357.79K,-1.94%
05/21/2023,48.88,48.5,49.35,48.01,133.38K,1.03%
05/18/2023,48.38,48.99,48.99,47.7,428.28K,-0.86%
05/17/2023,48.8,49.8,50.0,48.7,442.78K,-1.71%
