Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,19.6,19.69,19.83,19.5,500.98K,-0.46%
08/08/2023,19.69,19.85,19.9,19.5,580.56K,-0.30%
08/07/2023,19.75,19.63,19.93,19.63,579.67K,1.02%
08/06/2023,19.55,19.0,19.81,18.99,1.25M,3.93%
08/03/2023,18.81,18.61,18.9,18.6,119.72K,1.07%
08/02/2023,18.61,18.91,19.15,18.6,336.88K,-1.48%
08/01/2023,18.89,18.91,19.3,18.86,357.12K,-0.05%
07/31/2023,18.9,19.25,19.4,18.8,379.01K,-1.66%
07/30/2023,19.22,18.84,19.5,18.5,845.15K,2.84%
07/27/2023,18.69,18.9,18.95,18.55,233.82K,-1.11%
07/26/2023,18.9,18.42,18.95,18.31,368.47K,2.55%
07/25/2023,18.43,18.9,18.99,18.37,518.08K,-2.38%
07/24/2023,18.88,19.16,19.3,18.85,175.57K,-1.41%
07/19/2023,19.15,19.21,19.39,19.13,409.15K,0.21%
07/18/2023,19.11,18.81,19.35,18.74,1.17M,2.14%
07/17/2023,18.71,18.7,18.86,18.51,327.82K,0.54%
07/16/2023,18.61,18.69,18.99,18.43,490.33K,-0.27%
07/13/2023,18.66,18.5,18.75,18.35,639.43K,0.92%
07/12/2023,18.49,18.64,18.8,18.4,447.72K,0.27%
07/11/2023,18.44,18.95,19.0,18.31,433.97K,-2.07%
07/10/2023,18.83,17.7,18.9,17.66,529.33K,6.75%
07/09/2023,17.64,19.67,19.67,17.25,915.11K,-10.41%
07/06/2023,19.69,20.49,20.49,19.68,838.14K,-3.24%
07/05/2023,20.35,21.11,21.19,20.3,645.71K,-3.55%
07/04/2023,21.1,21.59,21.8,21.05,461.62K,-1.40%
06/26/2023,21.4,21.25,21.47,21.2,496.92K,0.66%
06/25/2023,21.26,21.29,21.48,21.0,364.30K,0.38%
06/22/2023,21.18,21.32,21.38,20.91,322.77K,-0.70%
06/21/2023,21.33,21.9,21.9,21.04,506.75K,-2.07%
